Player_Name,Team,Age,Position,GP,MP,PTS,REB,AST,FG%,3P%,PER,WS,USG%,VORP,Salary_2024,Contract_Years_Left,Cap_Hit_Share,Age_Norm,GP_Norm,MP_Norm,PTS_Norm,REB_Norm,AST_Norm,FG%_Norm,3P%_Norm,PER_Norm,WS_Norm,USG%_Norm,VORP_Norm,Salary_2024_Norm,Contract_Years_Left_Norm,PER_per_Million,All_Star_Votes,Is_Rookie,Rising_Stars_Consecutive,Popularity_Score
Joel Embiid,PHI,30,C,19,30.2,23.8,8.2,4.5,0.444,0.299,23.4,1.4,34.2,0.8,55224526,5,0.391663304964539,0.5238095238095238,0.2222222222222222,0.7956403269754767,0.72782874617737,0.5899280575539567,0.3879310344827586,0.444,0.299,0.5391705069124424,0.1452513966480446,0.8104265402843602,0.2105263157894737,0.8091845978588116,0.6666666666666666,0.4237247776468013,102017,0,0,0.08164508234375176
De'Aaron Fox,2TM,27,PG,62,36.1,23.5,4.8,6.3,0.463,0.31,18.3,4.3,28.3,1.3,37096620,6,0.2630965957446808,0.3809523809523809,0.7530864197530864,0.9564032697547684,0.7186544342507645,0.3453237410071942,0.5431034482758621,0.463,0.31,0.4608294930875576,0.3072625698324022,0.6706161137440758,0.2543859649122807,0.5432224352806154,0.8333333333333334,0.4933063982648554,0,0,0,0
Zach LaVine,2TM,29,SG,74,35.2,23.3,4.3,4.2,0.511,0.446,17.3,5.1,25.3,1.8,47499660,3,0.3368770212765957,0.4761904761904761,0.9012345679012346,0.9318801089918256,0.7125382262996941,0.3093525179856115,0.3620689655172414,0.511,0.446,0.445468509984639,0.3519553072625698,0.5995260663507109,0.2982456140350877,0.6958498273129593,0.3333333333333333,0.3642131333150595,0,0,0,0
Ja Morant,MEM,25,PG,50,30.4,23.2,4.1,7.3,0.454,0.309,19.3,3.5,32.2,1.7,39446090,4,0.2797595035460993,0.2857142857142857,0.6049382716049383,0.8010899182561307,0.7094801223241589,0.2949640287769783,0.6293103448275862,0.454,0.309,0.4761904761904762,0.2625698324022347,0.7630331753554502,0.2894736842105262,0.5776925016033664,0.5,0.4892753629066911,0,0,0,0
James Harden,LAC,35,PG,79,35.3,22.8,5.8,8.7,0.41,0.352,20,8.3,29.6,4.4,39182693,2,0.2778914397163121,0.7619047619047619,0.9629629629629628,0.9346049046321524,0.6972477064220183,0.4172661870503596,0.75,0.41,0.352,0.4869431643625192,0.5307262569832403,0.7014218009478673,0.5263157894736842,0.5738280930094224,0.1666666666666666,0.5104294388341302,215301,0,0,0.17230724167238887
Jaylen Brown,BOS,28,SF,63,34.3,22.2,5.8,4.5,0.463,0.324,17.8,5.2,28.9,1.1,53142264,5,0.3768954893617021,0.4285714285714285,0.7654320987654321,0.9073569482288828,0.6788990825688073,0.4172661870503596,0.3879310344827586,0.463,0.324,0.4531490015360983,0.3575418994413408,0.6848341232227487,0.2368421052631579,0.7786348529200194,0.6666666666666666,0.3349499750330547,808276,0,0,0.6468702331619073
DeMar DeRozan,SAC,35,SF,77,35.9,22.2,3.9,4.4,0.477,0.328,17.7,7.1,25,1.3,24570000,3,0.1742553191489361,0.7619047619047619,0.9382716049382716,0.9509536784741144,0.6788990825688073,0.2805755395683453,0.3793103448275862,0.477,0.328,0.4516129032258065,0.4636871508379888,0.5924170616113744,0.2543859649122807,0.3594391044869053,0.3333333333333333,0.7203907203907204,0,0,0,0
Brandon Ingram,NOP,27,SF,18,33.1,22.2,5.6,5.2,0.465,0.374,16,0,30.2,0.3,38095238,4,0.2701789929078014,0.3809523809523809,0.2098765432098765,0.874659400544959,0.6788990825688073,0.4028776978417265,0.4482758620689655,0.465,0.374,0.4254992319508449,0.0670391061452514,0.7156398104265402,0.1666666666666666,0.557873581577905,0.5,0.4200000010499999,130618,0,0,0.10453470858362984
Jaren Jackson Jr.,MEM,25,C,74,29.8,22.2,5.6,2,0.488,0.375,19.6,6.4,28.1,2.4,35000000,6,0.2482269503546099,0.2857142857142857,0.9012345679012346,0.7847411444141689,0.6788990825688073,0.4028776978417265,0.1724137931034483,0.488,0.375,0.4807987711213518,0.4245810055865922,0.6658767772511848,0.3508771929824561,0.5124620380618359,0.8333333333333334,0.56,0,0,0,0
Norman Powell,LAC,31,SG,60,32.6,21.8,3.2,2.1,0.484,0.418,17.5,5.3,26.1,1.8,20482758,2,0.1452677872340425,0.5714285714285714,0.7283950617283951,0.8610354223433242,0.6666666666666666,0.2302158273381295,0.1810344827586207,0.484,0.418,0.4485407066052227,0.3631284916201117,0.6184834123222749,0.2982456140350877,0.2994734514599957,0.1666666666666666,0.8543771302673204,100390,0,0,0.08034298025318563
Jalen Williams,OKC,23,SG,69,32.4,21.6,5.3,5.1,0.484,0.365,20.3,7.8,27.5,3.4,6580997,7,0.0466737375886524,0.1904761904761904,0.8395061728395061,0.8555858310626702,0.6605504587155964,0.3812949640287769,0.4396551724137931,0.484,0.365,0.4915514592933948,0.5027932960893855,0.6516587677725119,0.4385964912280701,0.095514846466941,1,3.0846389992276246,0,0,1,0
Kawhi Leonard,LAC,33,SF,37,31.9,21.5,5.9,3.1,0.498,0.411,20.5,3.5,27.7,1.5,50000000,3,0.3546099290780142,0.6666666666666666,0.4444444444444444,0.8419618528610353,0.6574923547400611,0.4244604316546763,0.2672413793103448,0.498,0.411,0.4946236559139785,0.2625698324022347,0.6563981042654028,0.2719298245614035,0.7325333711034426,0.3333333333333333,0.41,85325,0,0,0.06828633120931431
Jamal Murray,DEN,27,PG,67,36.1,21.4,3.9,6,0.474,0.393,17.8,6.2,24,1.7,46394100,5,0.3290361702127659,0.3809523809523809,0.8148148148148148,0.9564032697547684,0.6544342507645259,0.2805755395683453,0.5172413793103449,0.474,0.393,0.4531490015360983,0.4134078212290503,0.5687203791469194,0.2894736842105262,0.6796296897824606,0.6666666666666666,0.3836694752134431,130656,0,0,0.10456512031039168
Trey Murphy III,NOP,24,SF,53,35,21.2,5.1,3.5,0.454,0.361,17.3,3.5,23.7,1.3,25000000,5,0.1773049645390071,0.238095238095238,0.6419753086419753,0.9264305177111716,0.6483180428134556,0.3669064748201438,0.3017241379310345,0.454,0.361,0.445468509984639,0.2625698324022347,0.5616113744075829,0.2543859649122807,0.365747816034098,0.6666666666666666,0.6920000000000001,0,0,0,0
